perturbation,dataset,n_cells,closest_severity,recovery_score,disease_score,dist_healthy,dist_mild,dist_moderate,dist_severe,dist_fatal,dist_recovered,sim_healthy,sim_mild,sim_moderate,sim_severe,sim_fatal,sim_recovered
HMGCLL1_P1P2-1|HMGCLL1_P1P2-2,hct116,9,recovered,20.789318,-0.7068481,82.18378,83.2768,82.41294,82.945854,82.1802,80.459305,0.012021575,0.0118656615,0.011988548,0.011912441,0.012022092,0.012276068
PRDX5_P1P2-1|PRDX5_P1P2-2,hct116,7,recovered,20.789257,-1.005972,81.94738,83.08578,82.17754,82.749725,81.99997,80.2571,0.012055836,0.011892618,0.012022476,0.011940338,0.012048197,0.012306617
GCDH_P1P2-1|GCDH_P1P2-2,hct116,13,recovered,20.789082,0.436334,80.96283,81.9524,81.121735,81.588844,80.878845,79.05966,0.012200653,0.012055106,0.0121770445,0.012108173,0.012213167,0.012490685
WNT6_P1P2-1|WNT6_P1P2-2,hct116,7,recovered,20.7888,-0.8438959,81.05268,82.16941,81.24641,81.84294,81.125,79.32192,0.012187292,0.012023651,0.012158586,0.012071035,0.01217656,0.012449902
PLA2G2D_P1P2-1|PLA2G2D_P1P2-2,hct116,6,recovered,20.788797,-0.36969882,81.406334,82.48371,81.54693,82.1324,81.39347,79.620544,0.01213499,0.011978385,0.012114321,0.012029004,0.012136884,0.012403786
MMAA_P1P2-1|MMAA_P1P2-2,hct116,6,recovered,20.788681,0.08570993,80.46263,81.51502,80.58467,81.13804,80.41359,78.59444,0.012275567,0.012119005,0.012257204,0.012174627,0.012282962,0.012563692
LRP4_P1P2-1|LRP4_P1P2-2,hct116,7,recovered,20.788136,0.21007377,79.83079,80.9022,79.86951,80.49523,79.714874,77.930756,0.012371523,0.012209685,0.0123656,0.012270656,0.01238929,0.012669332
IFIT1B_P1P2-1|IFIT1B_P1P2-2,hct116,9,recovered,20.787779,-1.0852106,81.63708,82.79788,81.80782,82.45257,81.69406,79.95097,0.012101105,0.011933476,0.012076153,0.011982854,0.012092766,0.012353156
APH1A_P1P2-1|APH1A_P1P2-2,hct116,5,recovered,20.78718,-1.5311193,83.74287,84.865395,84.06046,84.59359,83.97195,82.157326,0.011800404,0.011646136,0.011756343,0.011683118,0.01176859,0.012025399
CHRNA5_P1P2-1|CHRNA5_P1P2-2,hct116,8,recovered,20.787035,0.25803268,81.440186,82.48735,81.60812,82.08544,81.41669,79.57245,0.012130006,0.011977863,0.012105347,0.012035803,0.012133465,0.01241119
